Year,Zipcode,Burglary,Theft,Motor-V Theft
,,,,
2017,78702,211,1053,143
2017,78704,296,1861,177
2017,78731,75,350,15
2017,78746,50,688,47
2017,78751,88,621,52
2016,78702,221,1047,115
2016,78704,305,1914,204
2016,78731,70,407,22
2016,78746,53,725,41
2016,78751,104,703,59
2015,78702,208,1228,103
2015,78704,294,1984,175
2015,78731,58,477,21
2015,78746,55,714,35
2015,78751,95,738,59
2014,78702,372,1554,101
2014,78704,319,2116,163
2014,78731,83,418,20
2014,78746,36,728,24
2014,78751,101,741,61
2013,78702,416,1460,105
2013,78704,405,2371,137
2013,78731,106,565,19
2013,78746,43,1033,27
2013,78751,141,986,55